loss,accuracy,val_loss,val_accuracy,lr
0.082712285,0.968228102,0.06385041,0.976140201,0.001
0.082648061,0.968465269,0.048941176,0.981778502,0.001
0.080140628,0.96918577,0.063516371,0.97542423,0.001
0.081197865,0.969118595,0.06948781,0.972434998,0.001
0.080036767,0.969230473,0.060715731,0.976444483,0.001
0.079861864,0.969306588,0.051758967,0.981098294,0.001
0.079169989,0.969485581,0.05191236,0.981259406,0.001
0.07826402,0.970268667,0.047752935,0.982637644,0.001
0.077448525,0.970720649,0.045609951,0.982941926,0.001
0.077118188,0.970564008,0.044814561,0.984713972,0.001
0.075341865,0.971646965,0.045074027,0.984373868,0.001
0.074723579,0.971655905,0.049172778,0.980883539,0.001
0.074630722,0.971754372,0.05727553,0.978001714,0.001
0.07399758,0.972036242,0.049815092,0.980632901,0.001
0.072144292,0.972550869,0.044903416,0.983819008,0.001
0.073217109,0.972188413,0.050155945,0.981492102,0.001
0.073695153,0.97172302,0.064730898,0.976516068,0.001
0.071806245,0.973038673,0.046856374,0.981957495,0.001
0.072114512,0.972671688,0.067192517,0.973079383,0.001
0.07227435,0.972479284,0.062155891,0.975209415,0.001
0.070610926,0.97312367,0.040350195,0.986145914,0.001
0.06968689,0.973172903,0.048054896,0.982404947,0.001
0.069802999,0.973325014,0.039041769,0.98623544,0.001
0.068069831,0.974296093,0.039904017,0.985215127,0.001
0.06817998,0.9742558,0.050957944,0.980364442,0.001
0.06899707,0.974157393,0.04041449,0.98539412,0.001
0.067000546,0.974331915,0.040850531,0.985644758,0.001
0.067892529,0.974094748,0.038084958,0.987237751,0.001
0.068575338,0.973897815,0.056692205,0.978628218,0.001
0.065254875,0.975182116,0.03956103,0.98496455,0.001
0.066428781,0.975025535,0.049063247,0.982190192,0.001
0.067644536,0.974296093,0.038976859,0.986307025,0.001
